交通,地方詞。交通大學的建築物及建築物所在的位置。,3月10日，姚國超去上海<交通>參加關於這次自主選拔試點的會議。
交通,普通名詞。大陸公立大學之一，位於陝西省西安市。「交通大學」的縮寫。,西安<交通>是中國著名大學，國家重點建設的九所大學之一，文理類，研究2型。
交通,地方詞。交通大學的建築物及建築物所在的位置。,考生務須持本人身份證原件、"最後學歷或學位證書原件"親自到西安<交通>青島研究院攝像。
交通,普通名詞。大陸公立大學之一，位於北京市。「交通大學」的縮寫。,今天我們請到北京<交通>高招辦的王化深主任為廣大考生及家長解答高招方面的問題。
交通,地方詞。交通大學的建築物及建築物所在的位置。,《國際工商管理》西班牙語培訓班採用全日制教學，學制一年，在北京<交通>本校區學習，並提供食宿。
交通,普通名詞。大陸公立大學之一，位於四川省成都市。「交通大學」的縮寫。,西南<交通>擁有雄厚的師資力量。現有教師2000餘名，其中教授、副教授1000餘名，博士生、碩士生導師800餘名。
交通,地方詞。交通大學的建築物及建築物所在的位置。,從金沙車站到西南<交通>怎麼走？
傷,普通名詞。生物器官受到損害的部分。,兄弟，還是先回家把<傷>包紮好再去吧！
傷,使後述身體器官受到損害。,我們拿的報紙、油墨等等，都會<傷>你的手。
傷,形容容易使生物器官受到損害的。,別煩了，失眠2天，這樣很<傷>喔。
傷,比喻使後述物體表面或功能受到損害。,尖銳及堅硬物品會<傷>洗衣機，在洗衣前請先檢查衣物，並清除此類物品。
傷,形容比喻容易使後述物體表面或功能受到損害。,聽說傳輸線對手機很<傷>？
傷,比喻使特定對象的心理狀態或名譽受到損害。,不透漏的原因是因為怕<傷>他名譽。
階級,普通名詞。比喻社會組織結構中處於不同地位的社會族群。,你們升級了，不是機車<階級>而是轎車<階級>了！
傷,形容比喻容易使後述對象的心理狀態或名譽受到損害。,盜版是對創作者很<傷>的行為。
階級,普通名詞。比喻古時官職的等級。,<階級>名位，亦宜超然，若復隨輩而進，非所以章偉之高價，昭知人之絕明也。
傷,比喻對後述社會共同的標準或利益造成傷害。,那時吃喝風仍盛，而且可能有人不惜「<傷>廉」吃喝的。
階級,普通名詞。階梯中多個平台中的一個。,這戶的居民要外出必須要準備一艘船緊靠在屋子的大門附近，方便出門一下階梯就可立刻上船。近年來，他們發現了下階梯的<階級>數減少了。
醫學院,普通名詞。與大學同等級且以研究醫學的教育為主的高等學校。,在上海唸完中學，黃淑珍考上上海<醫學院>，才唸了兩年，第三年日本人就佔領上海了。
醫學院,地方詞。與大學同等級且以研究醫學的教育為主的高等學校的建築物及建築物所在的位置。,他肩膀上剛剛掛上了中尉的肩章，走出國防<醫學院>大門的時候，兩個站崗的士兵立正向他敬禮。
傷,比喻大量耗損後述對象。,印成紅色的會不會很<傷>墨水呢？
醫學院,普通名詞。大學中研究醫學的教學行政單位。,周博士與Dr. Broker目前任教於阿拉巴馬大學<醫學院>。
傷,形容比喻容易大量耗損後述對象的。,你還在用底片，這樣很<傷>喔。
醫學院,地方詞。大學中研究醫學的教學行政單位的建築物及建築物所在的位置。,那人說：「找到東尼了！在<醫學院>屋頂上！」
