"x"
"打" 284
"開" 194
"下" 138
"上" 116
"生" 92
"放" 90
"帶" 88
"中" 84
"發" 82
"長" 78
"行" 76
"點" 76
"起" 74
"作" 72
"分" 72
"就" 72
"度" 70
"吃" 66
"本" 66
"條" 66
"正" 66
"套" 64
"轉" 64
"當" 62
"高" 62
"白" 60
"去" 58
"大" 58
"好" 58
"對" 58
"破" 58
"線" 58
"來" 56
"安" 54
"成" 54
"掛" 54
"出" 52
"包" 52
"家" 52
"打開" 52
"修" 50
"照" 50
"片" 50
"著" 50
"動" 48
"圈" 48
"格" 48
"要" 48
"關" 48
"一" 46
"亮" 46
"便" 46
"做" 46
"卡" 46
"愛" 46
"接" 46
"提" 46
"消" 46
"精" 46
"解" 46
"和" 44
"將" 44
"搭" 44
"明" 44
"法" 44
"熱" 44
"走" 44
"頭" 44
"掉" 42
"排" 42
"收" 42
"文" 42
"絕" 42
"過" 42
"門" 42
"別" 40
"天" 40
"後" 40
"得" 40
"挑" 40
"時" 40
"灌" 40
"班" 40
"種" 40
"處" 40
"進" 40
"也" 38
"代" 38
"前" 38
"印" 38
"后" 38
"早" 38
"的" 38
"真" 38
"課" 38
"跳" 38
"送" 38
"過去" 38
"光" 36
"叫" 36
"心" 36
"會" 36
"用" 36
"衝" 36
"見" 36
"趕" 36
"重" 36
"面" 36
"麻" 36
"以" 34
"切" 34
"可" 34
"堂" 34
"字" 34
"幹" 34
"推" 34
"深" 34
"絲" 34
"網" 34
"翻" 34
"補" 34
"還" 34
"乾" 32
"低" 32
"傳" 32
"同" 32
"在" 32
"小" 32
"年" 32
"從" 32
"把" 32
"標" 32
"比" 32
"給" 32
"記" 32
"說" 32
"追" 32
"部" 32
"順" 32
"人" 30
"倒" 30
"化" 30
"回" 30
"夾" 30
"季" 30
"攤" 30
"暴" 30
"板" 30
"潤" 30
"玩" 30
"由" 30
"畫" 30
"病" 30
"看" 30
"算" 30
"約" 30
"老" 30
"背" 30
"花" 30
"講" 30
"間" 30
"電" 30
"靠" 30
"黑" 30
"串" 28
"創" 28
"即" 28
"呀" 28
"咬" 28
"哈" 28
"坐" 28
"嫩" 28
"念" 28
"戰" 28
"拖" 28
"新" 28
"是" 28
"貼" 28
"通" 28
"錢" 28
"位" 26
"信" 26
"個" 26
"內" 26
"加" 26
"向" 26
"場" 26
"後面" 26
"想" 26
"才" 26
"日" 26
